id Modelo,Short_Run_FDI,Long_Run_ECT
2,-0.016835,-1.112254***
6,-0.0228636822661711**,-0.591341***
7,-0.014990*,-0.375934***
8,-0.04426,-0.509326757865382**
11,-0.030755***,-1.027507***
23,-0.012653*,-0.424785***
24,-0.0177242125450734**,-0.959005***
28,-0.016544***,-0.521908***
30,-0.047364***,0.652829***
31,-0.022568***,-2.490902***
33,-0.016977***,-0.327486***
36,-0.057529***,-0.352672***
37,-0.044988***,-0.987978***
38,-0.020390***,-0.592195***
41,-0.058674***,-0.386881***
47,-0.051917***,-3.173432***
50,-0.089282***,-1.899669***
51,-0.067228***,-0.861884***
53,-0.034397***,-6.308198***
59,-0.001355,-0.831936***
60,0.000494,-0.714633***
